==4149== Lackey, an example Valgrind tool
==4149== Copyright (C) 2002-2013, and GNU GPL'd, by Nicholas Nethercote.
==4149== Using Valgrind-3.10.0.SVN and LibVEX; rerun with -h for copyright info
==4149== Command: ./quicksort
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000370,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000378,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 0401881c,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04020ff0,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007ac,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007b0,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000340,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000348,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 0401881c,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04020ff4,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007b4,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007b8,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000390,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000398,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 04018820,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 0402100c,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007bc,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007c0,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000450,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000458,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 04018820,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04021010,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007c4,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007c8,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 040003c0,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 040003c8,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 04018820,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04021014,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007cc,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007d0,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000350,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000358,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 04018820,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04021018,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007d4,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007d8,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000410,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000418,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 04018820,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 0402101c,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007dc,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007e0,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 04000340,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 04000348,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 04018820,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04021020,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004bb0,5
I  04004952,6
 L 04020eac,4
I  04004958,7
 M 040216f0,1
I  0400495f,6
 L 04020ea8,4
I  04004965,2
I  04004967,5
I  0400496c,5
I  04004971,5
I  04004976,2
I  04004978,2
I  0400497a,3
 S bec69108,4
I  0400497d,3
 S bec6910c,4
I  04004980,2
I  04004982,3
 L bec69108,4
I  04004985,3
 L bec6910c,4
I  04004988,2
I  0400498a,2
I  0400498c,2
I  04004992,2
I  04004994,2
I  04004996,3
I  04004999,2
I  04004978,2
I  0400497a,3
 S bec69108,4
I  0400497d,3
 S bec6910c,4
I  04004980,2
I  04004982,3
 L bec69108,4
I  04004985,3
 L bec6910c,4
I  04004988,2
I  0400498a,2
I  0400498c,2
I  0400498e,2
I  04004990,2
I  04004996,3
I  04004999,2
I  04004978,2
I  0400497a,3
 S bec69108,4
I  0400497d,3
 S bec6910c,4
I  04004980,2
I  04004982,3
 L bec69108,4
I  04004985,3
 L bec6910c,4
I  04004988,2
I  0400498a,2
I  0400498c,2
I  0400498e,2
I  04004990,2
I  04004996,3
I  04004999,2
I  04004978,2
I  0400497a,3
 S bec69108,4
I  0400497d,3
 S bec6910c,4
I  04004980,2
I  04004982,3
 L bec69108,4
I  04004985,3
 L bec6910c,4
I  04004988,2
I  0400498a,2
I  0400498c,2
I  0400498e,2
I  04004990,2
I  04004992,2
I  04004994,2
I  04004996,3
I  04004999,2
I  04004978,2
I  0400497a,3
 S bec69108,4
I  0400497d,3
 S bec6910c,4
I  04004980,2
I  04004982,3
 L bec69108,4
I  04004985,3
 L bec6910c,4
I  04004988,2
I  0400498a,2
I  0400498c,2
I  0400498e,2
I  04004990,2
I  04004996,3
I  04004999,2
I  0400499b,6
 S 04020ea8,4
I  040049a1,6
 S 04020eac,4
I  040049a7,6
I  040049ad,5
 S bec690cc,4
I  0400a4e0,6
 L 040216a8,4
I  0400a4e6,2
I  0400a4e8,2
I  0400a4ea,1
 S bec690c8,4
I  0400a4eb,1
 S bec690c4,4
I  0400a4ec,1
 S bec690c0,4
I  0400a4ed,1
 S bec690bc,4
I  0400a4ee,3
I  0400a4f1,3
 L 04020f48,4
I  0400a4f4,5
 S bec6909c,4
I  040187a8,3
 L bec6909c,4
I  040187ab,1
 L bec6909c,4
I  0400a4f9,6
I  0400a4ff,2
 L 040001f8,4
I  0400a501,6
 S 040216d4,4
I  0400a507,3
 L 04000200,4
I  0400a50a,3
 L 040001fc,4
I  0400a50d,3
I  0400a510,2
I  0400a512,2
I  0400a514,6
 S 040216d8,4
I  0400a51a,3
I  0400a51d,3
 L 04000204,4
I  0400a520,3
I  0400a523,6
 S 040216e0,4
I  0400a529,6
 S 040216dc,4
I  0400a52f,4
I  0400a533,6
 S 040216e4,4
I  0400a539,3
I  0400a53c,2
I  0400a53e,6
 S 040216e8,4
I  0400a544,3
I  0400a547,1
 L bec690bc,4
I  0400a548,1
 L bec690c0,4
I  0400a549,1
 L bec690c4,4
I  0400a54a,1
 L bec690c8,4
I  0400a54b,1
 L bec690cc,4
I  040049b2,6
I  040049b8,6
 S 04021570,4
I  040049be,6
I  040049c4,6
 S 04021708,4
I  040049ca,6
I  040049d0,6
 S 0402170c,4
I  040049d6,6
